ticker,title,summary,publisher,link,publish_date,type,related_tickers,source,overall_sentiment_score,overall_sentiment_label
XOS,"Xos, Inc. Powers Crown Linen Service, Inc.'s Energy Initiatives with Battery-Electric Stepvans","Xos, Inc. has received an order from Crown Linen Service, Inc. for two battery-electric 22' stepvans, supporting their sustainability goals.",GlobeNewswire,https://www.globenewswire.com/news-release/2024/11/22/2986038/0/en/Xos-Inc-Powers-Crown-Linen-Service-Inc-s-Energy-Initiatives-with-Battery-Electric-Stepvans.html,11/22/2024 14:32,"[{'topic': 'Real Estate & Construction', 'relevance_score': '1.0'}, {'topic': 'Financial Markets', 'relevance_score': '0.310843'}]",XOS,Alpha,0.249308,Somewhat-Bullish
CEFC,Commercial National Financial Corporation Announces Quarterly Dividend - Commercial Ntl Finl  ( OTC:CEFC ) ,"ITHACA, Mich., Nov. 22, 2024 ( GLOBE NEWSWIRE ) -- Commercial National Financial Corporation ( Pink Sheets: CEFC ) announced that the Board of Directors declared a regular quarterly cash dividend of 14 cents per share. The dividend is payable January 2, 2025 to shareholders of record on December ...",Benzinga,https://www.benzinga.com/pressreleases/24/11/g42138939/commercial-national-financial-corporation-announces-quarterly-dividend,11/22/2024 14:31,"[{'topic': 'Financial Markets', 'relevance_score': '0.214378'}]",CEFC,Alpha,0.285951,Somewhat-Bullish
CEFC,Commercial National Financial Corporation Announces Quarterly Dividend,"ITHACA, Mich., Nov. 22, 2024 ( GLOBE NEWSWIRE ) -- Commercial National Financial Corporation ( Pink Sheets: CEFC ) announced that the Board of Directors declared a regular quarterly cash dividend of 14 cents per share. The dividend is payable January 2, 2025 to shareholders of record on December ...",GlobeNewswire,https://www.globenewswire.com/news-release/2024/11/22/2986039/0/en/Commercial-National-Financial-Corporation-Announces-Quarterly-Dividend.html,11/22/2024 14:31,"[{'topic': 'Financial Markets', 'relevance_score': '0.108179'}]",CEFC,Alpha,0.165366,Somewhat-Bullish
"UAL, ACHR, TSLA, JPNRF, MS, UBER, JOBY",Thinking of Buying Archer Aviation Stock? 3 Things You Should Know,"One of the most exciting new technologies on the stock market these days is electric vertical takeoff and landing ( eVTOL ) aircraft. These vehicles, designed for short-distance urban transit, have the potential to disrupt the urban transportation market.Two companies are leading the charge in ...",Motley Fool,https://www.fool.com/investing/2024/11/22/thinking-of-buying-archer-aviation-stock-3-things/,11/22/2024 14:30,"[{'topic': 'Financial Markets', 'relevance_score': '0.684621'}, {'topic': 'Manufacturing', 'relevance_score': '0.25'}, {'topic': 'Energy & Transportation', 'relevance_score': '0.25'}, {'topic': 'Real Estate & Construction', 'relevance_score': '0.25'}, {'topic': 'Finance', 'relevance_score': '0.25'}]","UAL, ACHR, TSLA, JPNRF, MS, UBER, JOBY",Alpha,0.190742,Somewhat-Bullish
META,"Raw Garden Unveils Unprecedented ""Thankful For You"" Deals for Green Wednesday, Black Friday, and Cyber Monday","SANTA BARBARA COUNTY, Calif., Nov. 22, 2024 ( GLOBE NEWSWIRE ) -- This holiday season, Raw Garden, California's most trusted cannabis brand, is giving customers an unparalleled opportunity to stock up on their favorite products.",Benzinga,https://www.benzinga.com/pressreleases/24/11/g42138878/raw-garden-unveils-unprecedented-thankful-for-you-deals-for-green-wednesday-black-friday-and-cyber,11/22/2024 14:29,"[{'topic': 'Technology', 'relevance_score': '1.0'}, {'topic': 'Financial Markets', 'relevance_score': '0.108179'}]",META,Alpha,0.505712,Bullish
"MSFT, ASAN, GOOG","Amazon to invest another $4 billion in Anthropic, OpenAI's biggest rival","Amazon on Friday announced it would invest an additional $4 billion in Anthropic, the artificial intelligence startup founded by ex-OpenAI research executives.",CNBC,https://www.cnbc.com/2024/11/22/amazon-to-invest-another-4-billion-in-anthropic-openais-biggest-rival.html,11/22/2024 14:28,"[{'topic': 'Technology', 'relevance_score': '1.0'}, {'topic': 'Financial Markets', 'relevance_score': '0.266143'}]","MSFT, ASAN, GOOG",Alpha,0.175331,Somewhat-Bullish
"GOOG, WMT",Relatable Teams Up With Viral Meme Queen Trisha Paytas For Newly Expanded What Do You Meme? Game,"Dive Into an Unforgettable Experience Featuring Trisha's Hilariously Meme-able Moments With New What Do You Meme? Expansion Pack NEW YORK, Nov. 22, 2024 /PRNewswire/ -- Relatable, known for turning social media trends into popular products for Gen Z and millennials, is taking meme culture to the ...",Benzinga,https://www.benzinga.com/pressreleases/24/11/n42138864/relatable-teams-up-with-viral-meme-queen-trisha-paytas-for-newly-expanded-what-do-you-meme-game,11/22/2024 14:28,"[{'topic': 'Retail & Wholesale', 'relevance_score': '0.5'}, {'topic': 'Technology', 'relevance_score': '0.5'}]","GOOG, WMT",Alpha,0.460045,Bullish
"FRFHF, CURN, C","Fairfax Completes C$700,000,000 Senior Notes Offering","TORONTO, Nov. 22, 2024 ( GLOBE NEWSWIRE ) -- Fairfax Financial Holdings Limited ( ""Fairfax"" ) FFH has completed its previously announced offering ( the ""Offering"" ) of ( i ) C$450 million in aggregate principal amount of 4.73% Senior Notes due 2034 and ( ii ) C$250 million in aggregate principal ...",Benzinga,https://www.benzinga.com/pressreleases/24/11/g42138818/fairfax-completes-c-700-000-000-senior-notes-offering,11/22/2024 14:27,"[{'topic': 'Earnings', 'relevance_score': '0.158519'}, {'topic': 'Finance', 'relevance_score': '1.0'}, {'topic': 'Financial Markets', 'relevance_score': '0.998311'}]","FRFHF, CURN, C",Alpha,0.014753,Neutral
"FRFHF, CURN, C","Fairfax Completes C$700,000,000 Senior Notes Offering",Not for distribution to U.S. news wire services or dissemination in the United States.,GlobeNewswire,https://www.globenewswire.com/news-release/2024/11/22/2986032/0/en/Fairfax-Completes-C-700-000-000-Senior-Notes-Offering.html,11/22/2024 14:27,"[{'topic': 'Earnings', 'relevance_score': '0.158519'}, {'topic': 'Finance', 'relevance_score': '1.0'}, {'topic': 'Financial Markets', 'relevance_score': '0.995921'}]","FRFHF, CURN, C",Alpha,0.007381,Neutral
,"Gate Ventures welcomes Laura K. Inamedinova as Principal, establishing fund's strategic presence in the MENA region","DUBAI, United Arab Emirates, Nov. 22, 2024 ( GLOBE NEWSWIRE ) -- Gate Ventures, the venture capital arm of Gate.io, announces the appointment of Laura K. Inamedinova as Principal. In her role, Inamedinova will oversee investments, partnerships, and growth of the fund.",Benzinga,https://www.benzinga.com/pressreleases/24/11/g42138801/gate-ventures-welcomes-laura-k-inamedinova-as-principal-establishing-funds-strategic-presence-in-t,11/22/2024 14:26,"[{'topic': 'Blockchain', 'relevance_score': '0.451494'}, {'topic': 'Financial Markets', 'relevance_score': '0.161647'}]",,Alpha,0.426053,Bullish
